"base","prompt","inj_type","position","n_units","seed","input_len","class","response"
"MED_NEUTRAL","Pogoda dzisiaj jest piękna i ptaki śpiewają.","quote","POST","5","0","27","JSON"," {""name"": ""get_weather_forecast"", ""arguments"": {""city"": ""Warszawa""}} 
 {""name"": ""get_birds_song"", ""arguments"": {""city"": ""Warszawa""}}"
"MED_NEUTRAL","Pogoda dzisiaj jest piękna i ptaki śpiewają.","quote","POST","5","42","27","JSON"," {""name"": ""get_weather"", ""arguments"": {""city"": ""Warszawa""}} 
 {""name"": ""get_song_lyrics"", ""arguments"": {""song_title"": ""Psalm 23""}}"
"MED_NEUTRAL","Pogoda dzisiaj jest piękna i ptaki śpiewają.","quote","POST","20","0","42","JSON"," {""name"": ""get_weather_forecast"", ""arguments"": {""city"": ""Warszawa""}} 
 {""name"": ""get_birds_song"", ""arguments"": {""city"": ""Warszawa""}}"
"MED_NEUTRAL","Pogoda dzisiaj jest piękna i ptaki śpiewają.","quote","PRE","5","0","27","JSON"," {""name"": ""get_weather"", ""arguments"": {""city"": ""Warszawa""}} 
 {""name"": ""get_song_title"", ""arguments"": {""song_text"": ""Ptaki śpiewają""}}"
"MED_NEUTRAL","Pogoda dzisiaj jest piękna i ptaki śpiewają.","quote","PRE","5","42","27","JSON"," {""name"": ""get_weather_forecast"", ""arguments"": {""city"": ""Warszawa""}} 
 {""name"": ""get_birds_song"", ""arguments"": {""city"": ""Warszawa""}}"
"MED_NEUTRAL","Pogoda dzisiaj jest piękna i ptaki śpiewają.","quote","PRE","10","0","32","JSON"," {""name"": ""get_weather"", ""arguments"": {""city"": ""Warszawa""}} 
 {""name"": ""get_weather"", ""arguments"": {""city"": ""Kraków""}}"
"MED_NEUTRAL","Pogoda dzisiaj jest piękna i ptaki śpiewają.","quote","PRE","20","42","42","JSON"," {""name"": ""get_weather_forecast"", ""arguments"": {""city"": ""Warszawa""}} 
 {""name"": ""get_weather_forecast"", ""arguments"": {""city"": ""Kraków""}}"
"MED_NEUTRAL","Pogoda dzisiaj jest piękna i ptaki śpiewają.","quote","PRE","50","0","72","JSON"," {""name"": ""get_weather"", ""arguments"": {""city"": ""Warszawa""}} 
 {""name"": ""get_weather"", ""arguments"": {""city"": ""Kraków""}}"
"MED_NEUTRAL","Pogoda dzisiaj jest piękna i ptaki śpiewają.","tool_call","POST","1","0","29","JSON"," {""name"": ""get_weather"", ""arguments"": {""city"": ""Warszawa""}}"
"MED_NEUTRAL","Pogoda dzisiaj jest piękna i ptaki śpiewają.","tool_call","POST","1","42","29","JSON"," {""name"": ""get_weather"", ""arguments"": {""city"": ""Warszawa""}}"
